Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
535387,LAKHOTIA,LAKHOTIA POLYESTERS (INDIA) LTD.,25 Jul 2014,Bonus issue 18:10,28 Jul 2014,-,-,21 Jul 2014,25 Jul 2014,-
500109,MRPL,MANGALORE REFINERY & PETROCHEMICALS LTD.,25 Jul 2014,E-Voting ,-,30 Jul 2014,02 Aug 2014,22 Jul 2014,28 Jul 2014,-
500298,NATPEROX,NATIONAL PEROXIDE LTD.,25 Jul 2014,Dividend - Rs. - 15.0000,-,30 Jul 2014,11 Aug 2014,22 Jul 2014,28 Jul 2014,-
523628,PODDAR,Poddar Housing and Development Ltd,25 Jul 2014,Dividend - Rs. - 1.5000,-,29 Jul 2014,05 Aug 2014,22 Jul 2014,25 Jul 2014,-
532503,RAJPALAYAM,RAJAPALAYAM MILLS LTD.-$,25 Jul 2014,Final Dividend - Rs. - 2.5000,-,30 Jul 2014,04 Aug 2014,22 Jul 2014,28 Jul 2014,-
532755,TECHM,TECH MAHINDRA LTD.,25 Jul 2014,Dividend - Rs. - 20.0000,-,29 Jul 2014,01 Aug 2014,22 Jul 2014,25 Jul 2014,-
506685,ULTRAMAR,ULTRAMARINE & PIGMENTS LTD.-$,25 Jul 2014,Dividend - Rs. - 2.5000,-,29 Jul 2014,07 Aug 2014,22 Jul 2014,25 Jul 2014,-
500410,ACC,ACC LTD.,28 Jul 2014,Interim Dividend - Rs. - 15.0000,30 Jul 2014,-,-,22 Jul 2014,28 Jul 2014,-
506767,ALKYLAMINE,ALKYL AMINES CHEMICALS LTD.-$,28 Jul 2014,Dividend - Rs. - 8.0000,-,31 Jul 2014,07 Aug 2014,23 Jul 2014,30 Jul 2014,-
532215,AXISBANK,AXIS BANK LTD.,28 Jul 2014,Stock  Split From Rs.10/- to Rs.2/-,30 Jul 2014,-,-,22 Jul 2014,28 Jul 2014,-
533336,DHUNINV,DHUNSERI INVESTMENTS LTD.,28 Jul 2014,Dividend - Rs. - 1.2500,-,31 Jul 2014,11 Aug 2014,23 Jul 2014,30 Jul 2014,-
531599,FDC,FDC LTD.,28 Jul 2014,Final Dividend - Rs. - 2.2500,-,31 Jul 2014,09 Aug 2014,23 Jul 2014,30 Jul 2014,-
523574,FEL,Future Enterprises Ltd,28 Jul 2014,Dividend - Rs. - 0.6000,-,31 Jul 2014,02 Aug 2014,23 Jul 2014,30 Jul 2014,-
570002,FELDVR,Future Enterprises Ltd_DVR,28 Jul 2014,Dividend - Rs. - 0.6400,-,31 Jul 2014,02 Aug 2014,23 Jul 2014,30 Jul 2014,-
533150,GODREJPROP,Godrej Properties Ltd,28 Jul 2014,Dividend - Rs. - 2.0000,-,31 Jul 2014,01 Aug 2014,23 Jul 2014,30 Jul 2014,-
505893,HINDHARD,Hindustan Hardy Ltd,28 Jul 2014,Dividend - Rs. - 3.0000,-,31 Jul 2014,07 Aug 2014,23 Jul 2014,30 Jul 2014,-
531841,INDUSFINL,Indus Finance Ltd,28 Jul 2014,Dividend - Rs. - 0.5000,-,31 Jul 2014,07 Aug 2014,23 Jul 2014,30 Jul 2014,06 Sep 2014
532054,KDDL,KDDL LTD.-$,28 Jul 2014,Dividend - Rs. - 1.5000,-,31 Jul 2014,06 Aug 2014,23 Jul 2014,30 Jul 2014,-
508989,NAVNETEDUL,Navneet Education Limited,28 Jul 2014,Dividend - Rs. - 2.0000,-,31 Jul 2014,02 Aug 2014,23 Jul 2014,30 Jul 2014,15 Oct 2014
532742,PAUSHAKLTD,PAUSHAK LTD.,28 Jul 2014,Dividend - Rs. - 3.0000,-,31 Jul 2014,07 Aug 2014,23 Jul 2014,30 Jul 2014,-
530017,SIL,STANDARD INDUSTRIES LTD.,28 Jul 2014,Dividend - Rs. - 0.7500,-,31 Jul 2014,14 Aug 2014,23 Jul 2014,30 Jul 2014,-
514138,SURYALA,SURYALATA SPINNING MILLS LTD.-$,28 Jul 2014,Dividend - Rs. - 1.5000,-,31 Jul 2014,06 Aug 2014,23 Jul 2014,30 Jul 2014,-
532540,TCS,TATA CONSULTANCY SERVICES LTD.,28 Jul 2014,Interim Dividend - Rs. - 5.0000,30 Jul 2014,-,-,22 Jul 2014,28 Jul 2014,08 Aug 2014
532540,TCS,TATA CONSULTANCY SERVICES LTD.,28 Jul 2014,Special Dividend - Rs. - 40.0000,30 Jul 2014,-,-,22 Jul 2014,28 Jul 2014,08 Aug 2014
532375,TIPSINDLTD,TIPS INDUSTRIES LTD.,28 Jul 2014,Final Dividend - Rs. - 1.0000,-,31 Jul 2014,08 Aug 2014,23 Jul 2014,30 Jul 2014,-
524200,VINATIORGA,VINATI ORGANICS LTD.-$,28 Jul 2014,Dividend - Rs. - 3.0000,-,31 Jul 2014,09 Aug 2014,23 Jul 2014,30 Jul 2014,-
509966,VSTIND,VST INDUSTRIES LTD.,28 Jul 2014,Final Dividend - Rs. - 70.0000,-,31 Jul 2014,07 Aug 2014,23 Jul 2014,30 Jul 2014,25 Aug 2014
500710,AKZOINDIA,Akzo Nobel India Limited,30 Jul 2014,Dividend - Rs. - 15.0000,-,01 Aug 2014,11 Aug 2014,24 Jul 2014,31 Jul 2014,-
500710,AKZOINDIA,Akzo Nobel India Limited,30 Jul 2014,Dividend - Rs. - 15.0000,-,01 Aug 2014,11 Aug 2014,24 Jul 2014,31 Jul 2014,-
500710,AKZOINDIA,Akzo Nobel India Limited,30 Jul 2014,Special Dividend - Rs. - 60.0000,-,01 Aug 2014,11 Aug 2014,24 Jul 2014,31 Jul 2014,-
500710,AKZOINDIA,Akzo Nobel India Limited,30 Jul 2014,Special Dividend - Rs. - 60.0000,-,01 Aug 2014,11 Aug 2014,24 Jul 2014,31 Jul 2014,-
500008,AMARAJABAT,AMARA RAJA BATTERIES LTD.,30 Jul 2014,Dividend - Rs. - 3.2300,-,01 Aug 2014,06 Aug 2014,24 Jul 2014,31 Jul 2014,31 Aug 2014
500425,AMBUJACEM,AMBUJA CEMENTS LTD.,30 Jul 2014,Interim Dividend - Rs. - 1.8000,31 Jul 2014,-,-,23 Jul 2014,30 Jul 2014,-
500093,CGPOWER,CG Power and Industrial Solutions Ltd,30 Jul 2014,Final Dividend - Rs. - 0.4000,-,01 Aug 2014,05 Aug 2014,24 Jul 2014,31 Jul 2014,12 Aug 2014
526821,DAICHI,DAI-ICHI KARKARIA LTD.-$,30 Jul 2014,Final Dividend - Rs. - 2.0000,-,01 Aug 2014,08 Aug 2014,24 Jul 2014,31 Jul 2014,18 Aug 2014
526821,DAICHI,DAI-ICHI KARKARIA LTD.-$,30 Jul 2014,Special Dividend - Rs. - 0.5000,-,01 Aug 2014,08 Aug 2014,24 Jul 2014,31 Jul 2014,18 Aug 2014
523736,DVL,Dhunseri Ventures Ltd-$,30 Jul 2014,Dividend - Rs. - 4.5000,-,01 Aug 2014,14 Aug 2014,24 Jul 2014,31 Jul 2014,19 Aug 2014
504008,EMCO,EMCO LTD.-$,30 Jul 2014,Dividend - Rs. - 0.1000,-,01 Aug 2014,08 Aug 2014,24 Jul 2014,31 Jul 2014,06 Sep 2014
505714,GABRIEL,GABRIEL INDIA LTD.-$,30 Jul 2014,Final Dividend - Rs. - 0.5000,-,01 Aug 2014,08 Aug 2014,24 Jul 2014,31 Jul 2014,18 Aug 2014
504786,INVPRECQ,INVESTMENT & PRECISION CASTINGS LTD.,30 Jul 2014,Dividend - Rs. - 0.5000,-,01 Aug 2014,07 Aug 2014,24 Jul 2014,31 Jul 2014,-
511208,IVC,IL&FS INVESTMENT MANAGERS LTD.,30 Jul 2014,Dividend - Rs. - 1.3000,-,01 Aug 2014,07 Aug 2014,24 Jul 2014,31 Jul 2014,-
513691,JMTAUTOLTD,JMT AUTO LTD.,30 Jul 2014,Bonus issue 5:2,31 Jul 2014,-,-,23 Jul 2014,30 Jul 2014,-
507794,KHAICHEM,KHAITAN CHEMICALS & FERTILIZERS LTD.,30 Jul 2014,Dividend - Rs. - 0.0500,-,01 Aug 2014,07 Aug 2014,24 Jul 2014,31 Jul 2014,-
504258,LAKSELEC,LAKSHMI ELECTRICAL CONTROL SYSTEMS LTD.,30 Jul 2014,Dividend - Rs. - 5.0000,-,01 Aug 2014,08 Aug 2014,24 Jul 2014,31 Jul 2014,-
500252,LAXMIMACH,LAKSHMI MACHINE WORKS LTD.,30 Jul 2014,Dividend - Rs. - 30.0000,-,01 Aug 2014,06 Aug 2014,24 Jul 2014,31 Jul 2014,-
532313,MAHLIFE,MAHINDRA LIFESPACE DEVELOPERS LTD.,30 Jul 2014,Dividend - Rs. - 6.0000,-,01 Aug 2014,07 Aug 2014,24 Jul 2014,31 Jul 2014,12 Aug 2014
513023,NBVENTURES,NAVA BHARAT VENTURES LTD.,30 Jul 2014,Dividend - Rs. - 5.0000,-,01 Aug 2014,08 Aug 2014,24 Jul 2014,31 Jul 2014,14 Aug 2014
532864,NELCAST,NELCAST LTD.,30 Jul 2014,Final Dividend - Rs. - 0.7000,-,01 Aug 2014,06 Aug 2014,24 Jul 2014,31 Jul 2014,-
533168,ROSSELLIND,ROSSELL INDIA LTD.,30 Jul 2014,Dividend - Rs. - 0.5000,-,01 Aug 2014,06 Aug 2014,24 Jul 2014,31 Jul 2014,-
517059,SALZER,SALZER ELECTRONICS LTD.-$,30 Jul 2014,Dividend - Rs. - 1.5000,-,01 Aug 2014,09 Aug 2014,24 Jul 2014,31 Jul 2014,-
503229,SIMPLXREA,SIMPLEX REALTY LTD.,30 Jul 2014,Dividend - Rs. - 3.0000,-,01 Aug 2014,06 Aug 2014,24 Jul 2014,31 Jul 2014,-
500483,TATACOMM,TATA COMMUNICATIONS LTD.,30 Jul 2014,Dividend - Rs. - 4.5000,-,01 Aug 2014,04 Aug 2014,24 Jul 2014,31 Jul 2014,-
521163,ZODIACLOTH,ZODIAC CLOTHING CO.LTD.,30 Jul 2014,Dividend - Rs. - 4.5000,-,01 Aug 2014,12 Aug 2014,24 Jul 2014,31 Jul 2014,-
